fold,subject,n_train,n_test,LogisticRegression_acc,LogisticRegression_bal_acc,SVM (RBF)_acc,SVM (RBF)_bal_acc,RandomForest_acc,RandomForest_bal_acc
1,P001,775,29,0.5172413793103449,0.3333333333333333,0.27586206896551724,0.26666666666666666,0.4482758620689655,0.3481481481481481
2,P002,774,30,0.4666666666666667,0.3111111111111111,0.26666666666666666,0.24444444444444446,0.4,0.26666666666666666
3,P003,774,30,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.36666666666666664,0.26666666666666666
4,P004,775,29,0.6896551724137931,0.3333333333333333,0.3448275862068966,0.2333333333333333,0.5517241379310345,0.3333333333333333
5,P005,775,29,0.4482758620689655,0.4642857142857143,0.3103448275862069,0.319047619047619,0.4482758620689655,0.4619047619047619
6,P006,778,26,0.19230769230769232,0.3333333333333333,0.23076923076923078,0.29523809523809524,0.23076923076923078,0.2714285714285714
7,P007,775,29,0.3448275862068966,0.5,0.3448275862068966,0.33421052631578946,0.2413793103448276,0.3263157894736842
8,P008,774,30,0.5,0.3333333333333333,0.4,0.3333333333333333,0.4,0.27777777777777773
9,P009,775,29,0.5172413793103449,0.3333333333333333,0.13793103448275862,0.1611111111111111,0.3793103448275862,0.3055555555555555
10,P010,775,29,0.6896551724137931,0.39999999999999997,0.5517241379310345,0.4280701754385965,0.4482758620689655,0.2771929824561403
11,P011,775,29,1.0,1.0,0.2413793103448276,0.2413793103448276,0.5517241379310345,0.5517241379310345
12,P013,777,27,0.37037037037037035,0.3333333333333333,0.2962962962962963,0.3277777777777778,0.48148148148148145,0.48888888888888893
13,P014,775,29,0.4827586206896552,0.3333333333333333,0.3103448275862069,0.2809523809523809,0.3448275862068966,0.26666666666666666
14,P015,774,30,0.43333333333333335,0.2888888888888889,0.16666666666666666,0.1777777777777778,0.3,0.19999999999999998
15,P016,777,27,0.6296296296296297,0.5,0.37037037037037035,0.3764705882352941,0.5555555555555556,0.5029411764705882
16,P017,777,27,0.8148148148148148,0.5,0.2962962962962963,0.2590909090909091,0.5555555555555556,0.4181818181818182
17,P018,777,27,0.2962962962962963,0.3333333333333333,0.3333333333333333,0.3314814814814815,0.2222222222222222,0.23703703703703705
18,P019,777,27,0.37037037037037035,0.3333333333333333,0.18518518518518517,0.17037037037037037,0.3333333333333333,0.32037037037037036
19,P020,776,28,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.25555555555555554,0.2857142857142857,0.3138888888888889
20,P021,774,30,0.5,0.5,0.3333333333333333,0.33333333333333337,0.4666666666666667,0.4666666666666667
21,P023,774,30,0.5,0.4222222222222222,0.36666666666666664,0.3111111111111111,0.3333333333333333,0.24444444444444446
22,P024,774,30,0.3333333333333333,0.3333333333333333,0.3,0.3333333333333333,0.3333333333333333,0.32222222222222224
23,P025,775,29,0.5172413793103449,0.39999999999999997,0.20689655172413793,0.2380952380952381,0.3793103448275862,0.32380952380952377
24,P026,774,30,0.5,0.3333333333333333,0.36666666666666664,0.3666666666666667,0.36666666666666664,0.3
25,P027,775,29,0.4827586206896552,0.5,0.27586206896551724,0.28095238095238095,0.3103448275862069,0.31666666666666665
26,P028,775,29,0.5172413793103449,0.5,0.2413793103448276,0.24047619047619045,0.5172413793103449,0.5071428571428571
27,P029,776,28,0.2857142857142857,0.2962962962962963,0.21428571428571427,0.2148148148148148,0.21428571428571427,0.21851851851851853
28,P030,776,28,0.5,0.3333333333333333,0.25,0.2656084656084656,0.42857142857142855,0.37142857142857144
