fold,test_subject,LogisticRegression_acc,SVM (RBF)_acc,RandomForest_acc
1,P001,0.5,0.7,0.6
2,P002,0.4,0.7,0.6
3,P003,0.6,0.2,0.4
4,P004,0.2,0.2,0.6
5,P005,0.4,0.2,0.2
6,P006,0.25,0.5,0.75
7,P007,0.4,0.6,0.4
8,P009,0.4,0.6,0.2
9,P010,0.7,0.6,0.7
10,P011,0.5,0.5,0.5
11,P013,0.7142857142857143,0.42857142857142855,0.7142857142857143
12,P014,0.2,0.5,0.6
13,P015,0.8,0.4,0.4
14,P017,0.375,0.375,0.5
15,P018,0.5,0.5,0.375
16,P019,0.5555555555555556,0.5555555555555556,0.6666666666666666
17,P020,0.5555555555555556,0.4444444444444444,0.5555555555555556
18,P021,0.6,0.5,0.7
19,P023,0.5,0.8,0.5
20,P024,0.2,0.4,0.5
21,P025,0.4,0.5,0.4
22,P026,0.5,0.4,0.3
23,P027,0.5,0.4,0.3
24,P029,0.5,0.625,0.125
25,P030,0.2,1.0,0.4
