model,pw_dl,alpha_dl,acc,bacc,f1,rec_vua,rec_oth,oracle_bacc,oracle_thr
EEGNet+XGB,1.5,0.3,0.6964285714285714,0.5333577712609971,0.5288155055334481,0.19090909090909092,0.8758064516129033,0.6137096774193549,0.36
EEGNet+XGB,1.5,0.5,0.6904761904761905,0.5601173020527859,0.5627487567169319,0.2863636363636364,0.8338709677419355,0.6020527859237537,0.4
EEGNet+XGB,1.5,0.7,0.6107142857142858,0.5486070381231671,0.5401760080621536,0.41818181818181815,0.6790322580645162,0.5814516129032258,0.44
EEGNet+XGB,2.0,0.3,0.6904761904761905,0.5263929618768328,0.520632133450395,0.18181818181818182,0.8709677419354839,0.6275659824046921,0.36
EEGNet+XGB,2.0,0.5,0.6880952380952381,0.5643695014662757,0.5671669970735391,0.30454545454545456,0.8241935483870968,0.6129032258064516,0.4
EEGNet+XGB,2.0,0.7,0.6,0.5633431085043988,0.5458728881737731,0.4863636363636364,0.6403225806451613,0.6074046920821115,0.44
EEGNet+XGB,3.0,0.3,0.6821428571428572,0.5207478005865103,0.515123737706761,0.18181818181818182,0.8596774193548387,0.5993401759530792,0.35
EEGNet+XGB,3.0,0.5,0.6214285714285714,0.5177419354838709,0.5173983739837398,0.3,0.7354838709677419,0.6000000000000001,0.4
EEGNet+XGB,3.0,0.7,0.5321428571428571,0.5598973607038122,0.5109152190821883,0.6181818181818182,0.5016129032258064,0.5743401759530792,0.44
EEGNet+XGB,4.0,0.3,0.6964285714285714,0.5377565982404692,0.5349291646311676,0.20454545454545456,0.8709677419354839,0.5829912023460411,0.32
EEGNet+XGB,4.0,0.5,0.638095238095238,0.5319648093841642,0.5319648093841642,0.3090909090909091,0.7548387096774194,0.591275659824047,0.38
EEGNet+XGB,4.0,0.7,0.5666666666666667,0.5730205278592375,0.5353728140822641,0.5863636363636363,0.5596774193548387,0.5802052785923754,0.47
ShallowConvNet+XGB,1.5,0.3,0.705952380952381,0.5383431085043988,0.5332062932107029,0.18636363636363637,0.8903225806451613,0.6041055718475072,0.33
ShallowConvNet+XGB,1.5,0.5,0.7071428571428572,0.5728739002932551,0.576942290211365,0.2909090909090909,0.8548387096774194,0.6227272727272728,0.4
ShallowConvNet+XGB,1.5,0.7,0.6976190476190476,0.6236070381231672,0.6198146828225232,0.4681818181818182,0.7790322580645161,0.6359970674486803,0.45
ShallowConvNet+XGB,2.0,0.3,0.7023809523809523,0.5373900293255132,0.5328807466790045,0.19090909090909092,0.8838709677419355,0.606524926686217,0.36
ShallowConvNet+XGB,2.0,0.5,0.6583333333333333,0.5324780058651026,0.5331299927378359,0.2681818181818182,0.7967741935483871,0.6142961876832844,0.37
ShallowConvNet+XGB,2.0,0.7,0.6357142857142857,0.5743401759530792,0.565337969006825,0.44545454545454544,0.7032258064516129,0.6035923753665688,0.44
ShallowConvNet+XGB,3.0,0.3,0.7047619047619048,0.5404692082111437,0.5366177007055725,0.19545454545454546,0.885483870967742,0.6442815249266862,0.36
ShallowConvNet+XGB,3.0,0.5,0.694047619047619,0.5918621700879765,0.5939899682346237,0.37727272727272726,0.8064516129032258,0.6590909090909092,0.4
ShallowConvNet+XGB,3.0,0.7,0.6583333333333333,0.6189882697947214,0.6015937571784351,0.5363636363636364,0.7016129032258065,0.656524926686217,0.43
ShallowConvNet+XGB,4.0,0.3,0.705952380952381,0.5486070381231671,0.5475707111565644,0.21818181818181817,0.8790322580645161,0.6089442815249266,0.35
ShallowConvNet+XGB,4.0,0.5,0.655952380952381,0.5660557184750733,0.564458398744113,0.37727272727272726,0.7548387096774194,0.6111436950146627,0.4
ShallowConvNet+XGB,4.0,0.7,0.6107142857142858,0.5852639296187683,0.5624435491964273,0.5318181818181819,0.6387096774193548,0.6117302052785923,0.41
DeepConvNet+XGB,1.5,0.3,0.7095238095238096,0.5422287390029326,0.5378120940972724,0.19090909090909092,0.8935483870967742,0.6143695014662756,0.35
DeepConvNet+XGB,1.5,0.5,0.6785714285714286,0.5461876832844574,0.5475726915834158,0.2681818181818182,0.8241935483870968,0.6118768328445747,0.39
DeepConvNet+XGB,1.5,0.7,0.6404761904761904,0.5658357771260997,0.560678586025118,0.4090909090909091,0.7225806451612903,0.6055718475073314,0.44
DeepConvNet+XGB,2.0,0.3,0.7011904761904761,0.535117302052786,0.5299531156992181,0.18636363636363637,0.8838709677419355,0.6008064516129032,0.35
DeepConvNet+XGB,2.0,0.5,0.6702380952380952,0.5420087976539589,0.5431833843459619,0.2727272727272727,0.8112903225806452,0.6035190615835777,0.39
DeepConvNet+XGB,2.0,0.7,0.6130952380952381,0.5766129032258065,0.5586630562179202,0.5,0.6532258064516129,0.6097507331378299,0.44
DeepConvNet+XGB,3.0,0.3,0.7,0.5387096774193548,0.5353819139596137,0.2,0.8774193548387097,0.631158357771261,0.36
DeepConvNet+XGB,3.0,0.5,0.6726190476190477,0.5744134897360704,0.5747352220489662,0.36818181818181817,0.7806451612903226,0.6458944281524927,0.4
DeepConvNet+XGB,3.0,0.7,0.6166666666666667,0.6186217008797654,0.5813417865722281,0.6227272727272727,0.614516129032258,0.6543988269794722,0.43
DeepConvNet+XGB,4.0,0.3,0.6845238095238095,0.531158357771261,0.5287003690365035,0.20909090909090908,0.853225806451613,0.6052052785923754,0.36
DeepConvNet+XGB,4.0,0.5,0.6333333333333333,0.5727272727272728,0.5634920634920635,0.44545454545454544,0.7,0.5944281524926687,0.4
DeepConvNet+XGB,4.0,0.7,0.5369047619047619,0.5792521994134897,0.5201416842034156,0.6681818181818182,0.49032258064516127,0.6066715542521994,0.43
