subject_id,n_conditions,n_good,n_weak,n_bad,n_with_pattern,mean_quality,mean_avg_snr
P001,6,2,0,4,2,0.4541184242337499,0.719940484122693
P002,6,4,1,1,5,0.5584138463447097,0.6315532048562128
P003,6,3,2,1,5,0.5143353024871122,0.5993269521805551
P004,6,3,2,1,5,0.5523186914259387,0.5194124019565504
P005,6,3,2,1,5,0.4966070412298058,0.3762523716159773
P006,6,5,0,1,5,0.5209272699691269,0.6265536511721509
P007,6,5,0,1,5,0.5445302712643353,0.6596280016563508
P008,6,0,2,4,2,0.3950238982579952,0.35420060362332756
P009,6,5,0,1,5,0.6035578758931458,0.5952183041351006
P010,6,4,1,1,5,0.524870514604276,0.5415748881056718
P011,6,3,1,2,4,0.5096849541100882,0.6465285056440752
P013,6,3,3,0,6,0.5500492897119073,0.7560056436435767
P014,6,2,3,1,5,0.5039985350424506,0.47627113878194455
P015,6,3,0,3,3,0.4690455628219264,0.5019292330487247
P016,6,2,0,4,2,0.4220761696491608,0.6061582627406558
P017,6,3,1,2,4,0.4890917523976243,0.5396353045754614
P018,6,5,0,1,5,0.5682034735741693,0.5058302042499727
P019,6,5,1,0,6,0.5589931988130009,0.6225192271070839
P020,6,4,0,2,4,0.5246582848545883,0.5308388547736945
P021,6,5,0,1,5,0.5357685591172194,0.7701728778831899
P023,6,5,1,0,6,0.549087538338584,0.5007279956341201
P024,6,2,1,3,3,0.4686024489387692,0.5835261418768033
P025,6,2,2,2,4,0.4626780205344243,0.4373661192002425
P026,6,2,3,1,5,0.4898122648490666,0.5029790023067665
P027,6,3,0,3,3,0.4732982066585685,0.6497969910663217
P028,6,2,0,4,2,0.4280130628146264,0.5957021841701358
P029,6,1,2,3,3,0.42907378156855297,0.45800550633554576
P030,6,4,1,1,5,0.5010792821619156,0.5554554464244107
