model,sampling,K,accuracy,balanced_acc,f1_macro,rec_vua,rec_oth,oracle_bacc,oracle_thr
GradBoost,smote,8,0.6975,0.5897,0.5897,0.3793,0.8,0.5897,0.5
GradBoost,smote,9,0.6975,0.5897,0.5897,0.3793,0.8,0.6063,0.53
GradBoost,smote,11,0.6639,0.5674,0.5638,0.3793,0.7556,0.578,0.57
GradBoost,smote,7,0.6807,0.5669,0.5669,0.3448,0.7889,0.5902,0.47
GradBoost,smote,14,0.6807,0.5552,0.5563,0.3103,0.8,0.5826,0.23
GradBoost,smote,10,0.6555,0.5502,0.5481,0.3448,0.7556,0.583,0.6
XGB_gpu,smote,6,0.6134,0.5458,0.5345,0.4138,0.6778,0.5835,0.69
GradBoost,smote,6,0.6555,0.5385,0.538,0.3103,0.7667,0.5496,0.52
GradBoost,smote,12,0.6555,0.5385,0.538,0.3103,0.7667,0.549,0.59
XGB_gpu,smote,8,0.5798,0.5352,0.5167,0.4483,0.6222,0.628,0.81
XGB_gpu,smote,13,0.5966,0.5347,0.5221,0.4138,0.6556,0.5557,0.61
XGB_gpu,smote,15,0.5966,0.5347,0.5221,0.4138,0.6556,0.5584,0.87
GradBoost,smote,1,0.6134,0.5341,0.5265,0.3793,0.6889,0.5523,0.86
GradBoost,smote,15,0.6639,0.5324,0.533,0.2759,0.7889,0.5496,0.48
XGB_gpu,smote,9,0.605,0.5285,0.5204,0.3793,0.6778,0.5619,0.6
GradBoost,smote,16,0.6387,0.5274,0.5261,0.3103,0.7444,0.554,0.65
GradBoost,smote,13,0.6555,0.5268,0.5271,0.2759,0.7778,0.5852,0.38
XGB_gpu,smote,11,0.5798,0.5236,0.5097,0.4138,0.6333,0.5557,0.65
XGB_gpu,none,2,0.6303,0.5218,0.5202,0.3103,0.7333,0.5416,0.11
GradBoost,none,1,0.6639,0.5207,0.5209,0.2414,0.8,0.5707,0.65
