k,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,fold_acc_mean,fold_acc_std
5,LogReg,0.39285714285714285,0.3861766355889189,0.38042069116790583,0.40298251604307833,0.3928571428571429,0.21461614734904702
5,LR_L1,0.4166666666666667,0.4099146029795457,0.4025632306745685,0.4254619413100905,0.41666666666666663,0.20167945650115973
5,SVM_RBF,0.39880952380952384,0.4038771493958094,0.3876583720718257,0.40422640207299765,0.3988095238095238,0.23290473269659348
5,SVM_Linear,0.39285714285714285,0.3974100392701627,0.3878086419753086,0.4065586419753086,0.3928571428571429,0.22367016938161832
5,RandomForest,0.43452380952380953,0.34166599880675697,0.32338772338772337,0.3924020424020424,0.4345238095238096,0.20576650020766196
5,GradBoost,0.4226190476190476,0.3736653932804388,0.3734106181363565,0.4147264284395086,0.4226190476190477,0.2064541094764836
5,LDA,0.49404761904761907,0.3801636702018718,0.33895402911990585,0.41960541127983575,0.49404761904761907,0.18083878013051563
5,KNN,0.48214285714285715,0.395706996500414,0.38479987223543927,0.4479325487299069,0.48214285714285715,0.1800533745506449
5,MLP,0.4107142857142857,0.29846659364731654,0.24754373352504191,0.33118089076032997,0.4107142857142857,0.18624390294240495
10,LogReg,0.42857142857142855,0.4316311810434643,0.41920265167114684,0.43565329599428926,0.42857142857142866,0.22899266740084936
10,LR_L1,0.42857142857142855,0.43107685731840895,0.4145914186743432,0.432101993089265,0.42857142857142866,0.23328473740792172
10,SVM_RBF,0.3630952380952381,0.3537542631724236,0.3478233942663071,0.374118184283003,0.3630952380952381,0.19947138190614333
10,SVM_Linear,0.38095238095238093,0.39182895662472506,0.37569068301822517,0.3886441832737183,0.380952380952381,0.22650354274333867
10,RandomForest,0.43452380952380953,0.3528994024880008,0.3413493639829868,0.400297537121747,0.4345238095238095,0.1854813863200343
10,GradBoost,0.43452380952380953,0.367692499487974,0.36260882532924005,0.4140521406569447,0.4345238095238096,0.16867413470600898
10,LDA,0.4880952380952381,0.40217410662606073,0.3835784944760074,0.4464017013750111,0.4880952380952381,0.2037766996264725
10,KNN,0.4523809523809524,0.38630575517146193,0.3759030507931338,0.4287756939067219,0.4523809523809524,0.18823081310526069
10,MLP,0.3392857142857143,0.32914139930008285,0.27487104194195666,0.3121211835196566,0.3392857142857143,0.1914965231207787
20,LogReg,0.4166666666666667,0.40880595552943483,0.40269106045205944,0.42968809420094445,0.41666666666666663,0.21593282318115542
20,LR_L1,0.4166666666666667,0.4164796658919492,0.4070742169406096,0.42872056273172116,0.4166666666666667,0.21593282318115542
20,SVM_RBF,0.375,0.3541126813239655,0.3518075683024137,0.385822413068363,0.375,0.2465033242958173
20,SVM_Linear,0.3630952380952381,0.35130321730380504,0.35032842526799013,0.3759976593377077,0.3630952380952381,0.24009576226307983
20,RandomForest,0.49404761904761907,0.3782669480583087,0.34884363249143124,0.42693783663010976,0.49404761904761907,0.17526704600399357
20,GradBoost,0.42857142857142855,0.3453236449122432,0.33533834586466166,0.4002148227712138,0.42857142857142855,0.19121879052629775
20,LDA,0.4642857142857143,0.3907781903667886,0.3842974968111324,0.44164114748110384,0.4642857142857143,0.2009755120968349
20,KNN,0.375,0.31273875991771966,0.30797194603815276,0.36633163782226574,0.375,0.18162078931419476
20,MLP,0.42857142857142855,0.3651056554377154,0.34379015535006746,0.3990632701731473,0.42857142857142855,0.21095291841273034
40,LogReg,0.4523809523809524,0.42823400030276315,0.4257746931431143,0.4637078502116096,0.45238095238095244,0.21295885499998
40,LR_L1,0.38095238095238093,0.3616884388997231,0.3615207737448824,0.3936029408015826,0.3809523809523809,0.1828844225683002
40,SVM_RBF,0.36904761904761907,0.3476455711983188,0.3486861951258236,0.37697524353871104,0.36904761904761907,0.19597711468040863
40,SVM_Linear,0.44642857142857145,0.4217668901771165,0.42198142560592716,0.45658675839771473,0.44642857142857134,0.18926325113791245
40,RandomForest,0.4642857142857143,0.3469532230919243,0.312435038539512,0.39198218457214007,0.4642857142857143,0.1801517375050185
40,GradBoost,0.40476190476190477,0.32514537084034584,0.3154866133739373,0.38139150216615003,0.4047619047619047,0.20619652471058061
40,LDA,0.4166666666666667,0.35809535258550834,0.3504037161340532,0.4010853779714133,0.4166666666666666,0.19158901118370333
40,KNN,0.36904761904761907,0.3229614689356094,0.31875802310654683,0.3670055474050981,0.369047619047619,0.2286830084797446
40,MLP,0.43452380952380953,0.33019884415711626,0.2767073979350194,0.35717871689738695,0.4345238095238095,0.14999527581373992
80,LogReg,0.44642857142857145,0.40752811690219864,0.4073173213588186,0.44880679231091347,0.44642857142857134,0.2674600230792973
80,LR_L1,0.39285714285714285,0.3565904415889723,0.35691537761601455,0.40017304692577665,0.3928571428571428,0.20994276295890948
80,SVM_RBF,0.4166666666666667,0.3721003748920293,0.3720504998930827,0.4198042072438208,0.41666666666666663,0.23358829607557835
80,SVM_Linear,0.4523809523809524,0.4003107774779829,0.4010049612227257,0.44881328603122067,0.45238095238095244,0.18823081310526069
80,RandomForest,0.47023809523809523,0.3397358836677085,0.28959926745222775,0.37694567511093213,0.47023809523809523,0.20918194512863783
80,GradBoost,0.47619047619047616,0.3886855626497119,0.3808942471161223,0.44536160549818615,0.47619047619047616,0.2027307900705524
80,LDA,0.44047619047619047,0.3840506148763569,0.3835922701072332,0.4341955654972411,0.4404761904761904,0.18481160352690504
80,KNN,0.3392857142857143,0.3023268239254134,0.29214778503994193,0.3348099193381056,0.3392857142857143,0.21585076624367555
80,MLP,0.40476190476190477,0.33993846784031917,0.33086702262903633,0.3829987105444771,0.40476190476190477,0.17496355305594127
150,LogReg,0.4166666666666667,0.3904531652107321,0.390227514268435,0.4267535795440435,0.41666666666666663,0.18093671611393647
150,LR_L1,0.44642857142857145,0.42477225977079053,0.4216845878136201,0.45266577060931906,0.44642857142857145,0.18394687071860052
150,SVM_RBF,0.43452380952380953,0.39071363057551717,0.38924531636620713,0.4348752398626471,0.4345238095238095,0.22422390716473048
150,SVM_Linear,0.4226190476190476,0.3802304561928423,0.38095238095238093,0.4217687074829932,0.42261904761904756,0.20645410947648365
150,RandomForest,0.4880952380952381,0.34877870684511886,0.28432206925323317,0.3734227307944454,0.48809523809523814,0.16624095290201119
150,GradBoost,0.4880952380952381,0.4186301748012004,0.4185876055819118,0.4686062168349509,0.4880952380952381,0.19379548328690127
150,LDA,0.4642857142857143,0.4272500200357973,0.4268804458722806,0.46570076256952014,0.4642857142857143,0.19084785168906426
150,KNN,0.3333333333333333,0.3059844700308996,0.29562990914441584,0.3310973264889675,0.3333333333333333,0.19920476822239896
150,MLP,0.39285714285714285,0.32455320172040714,0.310350715228764,0.36433949648235364,0.39285714285714285,0.17374427999198122
238,LogReg,0.44047619047619047,0.39884371187633016,0.3979536505449068,0.4456166314240925,0.4404761904761905,0.21461614734904702
238,LR_L1,0.4583333333333333,0.4256850016473878,0.4234716573880312,0.46594764292576907,0.4583333333333333,0.2254844872009025
238,SVM_RBF,0.44642857142857145,0.39629471322095483,0.3971063257451429,0.44303495130551745,0.44642857142857145,0.19947138190614333
238,SVM_Linear,0.4642857142857143,0.4149079689044426,0.4135690581078943,0.46480785452578327,0.4642857142857143,0.16877912950902174
238,RandomForest,0.48214285714285715,0.3412029492693613,0.2694890368978833,0.3591363871709274,0.4821428571428571,0.19075500427335793
238,GradBoost,0.4642857142857143,0.38832714449817,0.38505945670124775,0.43691061079120785,0.46428571428571425,0.21061673824945396
238,LDA,0.48214285714285715,0.43051585499425643,0.4286604084174934,0.47770975409783967,0.48214285714285715,0.2008873456034072
238,KNN,0.34523809523809523,0.3170219681386299,0.30043155174005354,0.3373244039377036,0.3452380952380953,0.19884872724392932
238,MLP,0.43452380952380953,0.36112743657557056,0.355522892564414,0.4153577111520695,0.4345238095238096,0.22422390716473053
