model,accuracy,balanced_accuracy,f1_weighted,feature_set,task
LogisticRegression,0.46842105263157896,0.33525378276090323,0.3382631821843821,JAR_significant,JAR 3-class
SVM (RBF),0.312280701754386,0.30638365870500334,0.3152323832837909,JAR_significant,JAR 3-class
RandomForest,0.38070175438596493,0.30042457443242404,0.3371265958955897,JAR_significant,JAR 3-class
LogisticRegression,0.4807017543859649,0.3333333333333333,0.3121144092458635,Conc_significant,JAR 3-class
SVM (RBF),0.3526315789473684,0.35942087011869966,0.3526188675832582,Conc_significant,JAR 3-class
RandomForest,0.40350877192982454,0.333257899061803,0.3787075623310857,Conc_significant,JAR 3-class
LogisticRegression,0.463768115942029,0.45707070707070707,0.451224680057632,JAR_significant,Concentration binary (High vs Water)
SVM (RBF),0.5072463768115942,0.5109427609427609,0.5039444195428059,JAR_significant,Concentration binary (High vs Water)
RandomForest,0.4927536231884058,0.49074074074074076,0.4919211554516274,JAR_significant,Concentration binary (High vs Water)
LogisticRegression,0.463768115942029,0.4558080808080808,0.44567836563645885,Conc_significant,Concentration binary (High vs Water)
SVM (RBF),0.5024154589371981,0.5117845117845118,0.47877208090420104,Conc_significant,Concentration binary (High vs Water)
RandomForest,0.42995169082125606,0.4284511784511784,0.4296581815813681,Conc_significant,Concentration binary (High vs Water)
