task,top_k,model,accuracy,balanced_accuracy,f1,n_features,n_trials
JAR 3-class,5,LogisticRegression,0.47719298245614034,0.35087961270527385,0.36667601469413263,5,570
JAR 3-class,5,SVM (RBF),0.37719298245614036,0.36155043763036404,0.38313419445445374,5,570
JAR 3-class,5,RandomForest,0.4245614035087719,0.3588560057954946,0.4027627304726239,5,570
JAR 3-class,10,LogisticRegression,0.4666666666666667,0.3486335461115418,0.3713140733933458,10,570
JAR 3-class,10,SVM (RBF),0.356140350877193,0.34187459074675913,0.35961757411221806,10,570
JAR 3-class,10,RandomForest,0.443859649122807,0.3563704688664015,0.39170204924656815,10,570
JAR 3-class,15,LogisticRegression,0.45263157894736844,0.3416047681601313,0.3722466842060466,15,570
JAR 3-class,15,SVM (RBF),0.35789473684210527,0.339872458054751,0.36395634856001635,15,570
JAR 3-class,15,RandomForest,0.4192982456140351,0.3343579449919008,0.3747148397653766,15,570
JAR 3-class,20,LogisticRegression,0.443859649122807,0.3399878412452279,0.3763351277511291,20,570
JAR 3-class,20,SVM (RBF),0.3631578947368421,0.3459440241996714,0.3693303933838591,20,570
JAR 3-class,20,RandomForest,0.41403508771929826,0.3211169985551436,0.3595066361556064,20,570
JAR 3-class,48,LogisticRegression,0.38070175438596493,0.298002643324,0.3380908855357058,48,570
JAR 3-class,48,SVM (RBF),0.3456140350877193,0.3182167963109517,0.35549613272792674,48,570
JAR 3-class,48,RandomForest,0.45964912280701753,0.3497378324296843,0.38076449101656246,48,570
JAR 3-class,144,LogisticRegression,0.36666666666666664,0.32834953831101327,0.3673064072336863,144,570
JAR 3-class,144,SVM (RBF),0.3543859649122807,0.32641569818435506,0.36515726995473347,144,570
JAR 3-class,144,RandomForest,0.45087719298245615,0.3466403405522592,0.381077150207748,144,570
Vua_phai vs Others,5,LogisticRegression,0.7456140350877193,0.49189814814814814,0.647447765141497,5,570
Vua_phai vs Others,5,SVM (RBF),0.5754385964912281,0.530042270531401,0.6026861364354582,5,570
Vua_phai vs Others,5,RandomForest,0.712280701754386,0.5019625603864735,0.6601883656509695,5,570
Vua_phai vs Others,10,LogisticRegression,0.743859649122807,0.49074074074074076,0.6465741819337075,10,570
Vua_phai vs Others,10,SVM (RBF),0.5649122807017544,0.5255636070853462,0.593859649122807,10,570
Vua_phai vs Others,10,RandomForest,0.7210526315789474,0.4880233494363929,0.6481162045632916,10,570
Vua_phai vs Others,15,LogisticRegression,0.7403508771929824,0.48842592592592593,0.6448217317487267,15,570
Vua_phai vs Others,15,SVM (RBF),0.5596491228070175,0.5097624798711755,0.5880510733306975,15,570
Vua_phai vs Others,15,RandomForest,0.7280701754385965,0.4852556360708534,0.6442365217180045,15,570
Vua_phai vs Others,17,LogisticRegression,0.7368421052631579,0.4935084541062802,0.6516737434580824,17,570
Vua_phai vs Others,17,SVM (RBF),0.5385964912280702,0.5106682769726247,0.5708999014708391,17,570
Vua_phai vs Others,17,RandomForest,0.7333333333333333,0.486262077294686,0.6442032612418008,17,570
Vua_phai vs Others,17,LogisticRegression,0.7368421052631579,0.4935084541062802,0.6516737434580824,17,570
Vua_phai vs Others,17,SVM (RBF),0.5385964912280702,0.5106682769726247,0.5708999014708391,17,570
Vua_phai vs Others,17,RandomForest,0.7333333333333333,0.486262077294686,0.6442032612418008,17,570
Vua_phai vs Others,144,LogisticRegression,0.6736842105263158,0.5110205314009661,0.6557368421052632,144,570
Vua_phai vs Others,144,SVM (RBF),0.5947368421052631,0.5131843800322061,0.614137358244629,144,570
Vua_phai vs Others,144,RandomForest,0.7403508771929824,0.48842592592592593,0.6448217317487267,144,570
High vs Water,5,LogisticRegression,0.5603864734299517,0.5572390572390573,0.5581080928828149,5,207
High vs Water,5,SVM (RBF),0.5169082125603864,0.5172558922558923,0.5171111923030082,5,207
High vs Water,5,RandomForest,0.5362318840579711,0.5340909090909092,0.5352526439482961,5,207
High vs Water,10,LogisticRegression,0.5410628019323671,0.5387205387205387,0.539856008182606,10,207
High vs Water,10,SVM (RBF),0.5458937198067633,0.5454545454545454,0.5460422592442097,10,207
High vs Water,10,RandomForest,0.5265700483091788,0.5248316498316499,0.5259932358094618,10,207
High vs Water,15,LogisticRegression,0.5410628019323671,0.539983164983165,0.540955445690568,15,207
High vs Water,15,SVM (RBF),0.5362318840579711,0.5349326599326599,0.535993096879757,15,207
High vs Water,15,RandomForest,0.5748792270531401,0.5732323232323233,0.5743612729717614,15,207
High vs Water,20,LogisticRegression,0.5072463768115942,0.5071548821548821,0.5074765064693508,20,207
High vs Water,20,SVM (RBF),0.5265700483091788,0.5260942760942762,0.5267249085737505,20,207
High vs Water,20,RandomForest,0.4975845410628019,0.494949494949495,0.4959790781301079,20,207
High vs Water,45,LogisticRegression,0.5120772946859904,0.510942760942761,0.5119631580499722,45,207
High vs Water,45,SVM (RBF),0.5120772946859904,0.5126262626262627,0.5122367279424823,45,207
High vs Water,45,RandomForest,0.4975845410628019,0.49326599326599324,0.49282501606339685,45,207
High vs Water,144,LogisticRegression,0.45893719806763283,0.45791245791245794,0.45893719806763283,144,207
High vs Water,144,SVM (RBF),0.45893719806763283,0.4583333333333333,0.4591141812271434,144,207
High vs Water,144,RandomForest,0.45893719806763283,0.4545454545454546,0.4538115557605813,144,207
