subj_remove,n_subjects,n_samples,majority,iso_contam,sampling,model,K,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
3,25,108,0.7685,0.1,none,XGB_gpu,29,0.7778,0.6039,0.6168,0.28,0.9277,0.8241,0.6853,0.59
2,26,112,0.7679,0.05,none,LGBM_gpu,29,0.7679,0.6744,0.6744,0.5,0.8488,0.8214,0.7093,0.55
0,28,119,0.7563,0.1,smote,RF_100,16,0.7563,0.6519,0.6571,0.4483,0.8556,0.8151,0.6741,0.57
3,25,108,0.7685,0.1,none,XGB_gpu,25,0.8056,0.6219,0.642,0.28,0.9639,0.8148,0.6952,0.61
3,25,108,0.7685,0.1,none,XGB_gpu,26,0.787,0.5959,0.6079,0.24,0.9518,0.8148,0.6672,0.62
3,25,108,0.7685,0.1,none,XGB_gpu,27,0.7685,0.5978,0.6089,0.28,0.9157,0.8148,0.6952,0.59
3,25,108,0.7685,0.1,smote,RF_100,26,0.7963,0.6299,0.6487,0.32,0.9398,0.8148,0.6371,0.54
3,25,108,0.7685,0.1,smote,RF_100,27,0.8148,0.628,0.6509,0.28,0.9759,0.8148,0.6535,0.51
2,26,112,0.7679,0.05,none,XGB_gpu,20,0.7321,0.5707,0.5758,0.2692,0.8721,0.8125,0.6292,0.75
2,26,112,0.7679,0.05,none,XGB_gpu,23,0.7768,0.6266,0.6402,0.3462,0.907,0.8125,0.6266,0.64
2,26,112,0.7679,0.05,none,LGBM_gpu,17,0.6786,0.576,0.5714,0.3846,0.7674,0.8125,0.6498,0.71
2,26,112,0.7679,0.05,none,LGBM_gpu,30,0.7679,0.6476,0.6553,0.4231,0.8721,0.8125,0.6767,0.53
2,26,112,0.7679,0.15,smote,SVM_RBF,4,0.6875,0.6221,0.6058,0.5,0.7442,0.8125,0.6919,0.74
3,25,108,0.7685,0.1,none,XGB_gpu,28,0.7778,0.5899,0.6,0.24,0.9398,0.8056,0.701,0.57
3,25,108,0.7685,0.1,none,XGB_gpu,30,0.7963,0.6159,0.6333,0.28,0.9518,0.8056,0.6933,0.62
3,25,108,0.7685,0.1,smote,XGB_gpu,27,0.6944,0.5776,0.5765,0.36,0.7952,0.8056,0.6612,0.78
3,25,108,0.7685,0.1,smote,XGB_gpu,28,0.7037,0.5836,0.5836,0.36,0.8072,0.8056,0.6708,0.75
3,25,108,0.7685,0.1,smote,XGB_gpu,30,0.7222,0.6236,0.6201,0.44,0.8072,0.8056,0.7154,0.85
3,25,108,0.7685,0.1,smote,LGBM_gpu,27,0.7593,0.6477,0.6518,0.44,0.8554,0.8056,0.6477,0.69
3,25,108,0.7685,0.1,smote,LGBM_gpu,28,0.7778,0.6318,0.6453,0.36,0.9036,0.8056,0.6499,0.6
3,25,108,0.7685,0.1,smote,LGBM_gpu,29,0.7407,0.5937,0.6004,0.32,0.8675,0.8056,0.6496,0.73
3,25,108,0.7685,0.1,smote,SVM_RBF,8,0.6204,0.4735,0.4738,0.2,0.747,0.8056,0.58,0.76
3,25,108,0.7685,0.1,smote,SVM_RBF,9,0.6296,0.5214,0.5179,0.32,0.7229,0.8056,0.594,0.72
3,25,108,0.7685,0.15,smote,SVM_RBF,2,0.5741,0.5831,0.5331,0.6,0.5663,0.8056,0.6193,0.89
3,25,108,0.7685,0.15,smote,SVM_RBF,5,0.6759,0.6075,0.5919,0.48,0.7349,0.8056,0.6277,0.83
3,25,108,0.7685,0.1,none,RF_100,9,0.7778,0.534,0.5076,0.08,0.988,0.8056,0.6359,0.38
3,25,108,0.7685,0.1,none,RF_100,25,0.7778,0.534,0.5076,0.08,0.988,0.8056,0.6318,0.38
3,25,108,0.7685,0.1,none,RF_100,26,0.7778,0.534,0.5076,0.08,0.988,0.8056,0.6453,0.35
3,25,108,0.7685,0.1,none,BalancedRF,28,0.6759,0.6913,0.6328,0.72,0.6627,0.8056,0.6913,0.75
3,25,108,0.7685,0.1,none,BalancedRF,30,0.6667,0.6294,0.6003,0.56,0.6988,0.8056,0.6672,0.67
